place,latitude,longitude,display_name
Aan boord van Z.M. Brik Gier,,,
Aan boord van Z.M. Brik Zwaluw,,,
Krummendorf,53.80288,21.27183,"Krzywe, gmina Mrągowo, powiat mrągowski, województwo warmińsko-mazurskie, 11-700, Polska"
La Guaira,10.5802547,-66.8603468,"La Guaira, Venezuela"
Lausanne,46.5218269,6.6327025,"Lausanne, District de Lausanne, Vaud, Schweiz/Suisse/Svizzera/Svizra"
Leer,53.2049511,7.4595298,"Landkreis Leer, Niedersachsen, Deutschland"
Leeuwarden,53.2005936,5.7918548,"Leeuwarden, Fryslân, Nederland"
Legewitz,,,
Leiden,52.1594747,4.4908843,"Leiden, Zuid-Holland, Nederland"
Leiderdorp,52.1570577,4.5433786,"Leiderdorp, Zuid-Holland, Nederland"
Leipzig,51.3406321,12.3747329,"Leipzig, Sachsen, Deutschland"
Leyduin,52.3390974,4.5894749,"Leyduin, Vogelenzang, Bloemendaal, Noord-Holland, Nederland"
Lith,51.8068343,5.4403237,"Lith, Oss, Noord-Brabant, Nederland"
Lochem,52.1715131,6.3436582,"Lochem, Gelderland, Nederland"
Londen,51.5074456,-0.1277653,"Greater London, England, United Kingdom"
Lopik,51.9818527,4.9415393,"Lopik, Utrecht, Nederland"
Maarssen,52.1384846,5.040082,"Maarssen, Stichtse Vecht, Utrecht, Nederland"
Marburg,50.8090106,8.7704695,"Marburg, Landkreis Marburg-Biedenkopf, Hessen, Deutschland"
Medemblik,52.7907137,5.1686228,"Medemblik, Noord-Holland, Nederland"
Memmingen,47.9816221,10.168735,"Memmingen, Bayern, 87700, Deutschland"
Meppel,52.6938237,6.197767,"Meppel, Drenthe, Nederland"
Middelburg,51.4996784,3.6137371,"Middelburg, Zeeland, Nederland"
Middelharnis,51.7576172,4.1656476,"Middelharnis, Goeree-Overflakkee, Zuid-Holland, Nederland"
Middelstum,53.3482129,6.6439511,"Middelstum, Eemsdelta, Groningen, Nederland"
Mijnsheerenland,51.7987352,4.4874953,"Mijnsheerenland, Hoeksche Waard, Zuid-Holland, Nederland"
Mosbach,49.3521085,9.1460205,"Mosbach, VVG der Stadt Mosbach, Neckar-Odenwald-Kreis, Baden-Württemberg, 74821, Deutschland"
München,48.1371079,11.5753822,"München, Bayern, Deutschland"
Münster,51.9625101,7.6251879,"Münster, Nordrhein-Westfalen, Deutschland"
Nederland,52.2434979,5.6343227,Nederland
Neerbosch,51.8390309,5.7980655,"Neerbosch, Neerbosscheweg, Neerbosch-West, Lindenholt, Nijmegen, Gelderland, Nederland, 6545 BW, Nederland"
Neerijnen,51.8312888,5.2793902,"Neerijnen, West Betuwe, Gelderland, Nederland"
Neinbühl,,,
Neuchâtel,46.9895828,6.9292641,"Neuchâtel, Schweiz/Suisse/Svizzera/Svizra"
Neuenburg,46.9895828,6.9292641,"Neuchâtel, Schweiz/Suisse/Svizzera/Svizra"
Neuenstein,49.2049886,9.5813213,"Neuenstein, GVV Hohenloher Ebene, Hohenlohekreis, Baden-Württemberg, 74632, Deutschland"
Neustadt an der Aisch,49.5800045,10.6087584,"Neustadt an der Aisch, Landkreis Neustadt an der Aisch-Bad Windsheim, Bayern, 91413, Deutschland"
Nieuwenhoorn,51.8545745,4.1438594,"Nieuwenhoorn, Hellevoetsluis, Voorne aan Zee, Zuid-Holland, Nederland, 3223 BB, Nederland"
Nijmegen,51.8425749,5.8389606,"Nijmegen, Gelderland, Nederland"
Nuremberg,49.453872,11.077298,"Nürnberg, Bayern, Deutschland"
Öhringen,49.2005034,9.5024397,"Öhringen, VVG der Stadt Öhringen, Hohenlohekreis, Baden-Württemberg, 74613, Deutschland"
Olst,52.3370093,6.110796,"Olst, Olst-Wijhe, Overijssel, Nederland"
onbekend,45.2940359,13.6385355,"Onbekend, Perci, Općina Tar-Vabriga, Istarska županija, 52465, Hrvatska"
Onbekend,45.2940359,13.6385355,"Onbekend, Perci, Općina Tar-Vabriga, Istarska županija, 52465, Hrvatska"
Oosterhout,51.6322376,4.8630424,"Oosterhout, Noord-Brabant, Nederland"
Opperdoes,52.7570423,5.0739904,"Opperdoes, Medemblik, Noord-Holland, Nederland"
Orléans,47.9027336,1.9086066,"Orléans, Loiret, Centre-Val de Loire, France métropolitaine, 45000, France"
Ouderkerk aan den IJssel,51.9344514,4.6358147,"Ouderkerk aan den IJssel, Krimpenerwaard, Zuid-Holland, Nederland"
Overveen,52.3934144,4.6115554,"Overveen, Bloemendaal, Noord-Holland, Nederland"
Paramaribo,5.8241764,-55.1662813,"Centrum, Paramaribo, Suriname"
Parijs,48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
Prenzlau,53.3167,13.866575,"Prenzlau, Uckermark, Brandenburg, 17291, Deutschland"
Raamsdonk,51.6872854,4.9072133,"Raamsdonk, Geertruidenberg, Noord-Brabant, Nederland"
Regensburg,49.0195333,12.0974869,"Regensburg, Bayern, Deutschland"
Remagen,50.5792112,7.2286788,"Remagen, Landkreis Ahrweiler, Rheinland-Pfalz, 53424, Deutschland"
Rijswijk,52.0373934,4.3225028,"Rijswijk, Zuid-Holland, Nederland"
Rotterdam,51.9244424,4.47775,"Rotterdam, Zuid-Holland, Nederland"
Santpoort,52.4338437,4.6328181,"Santpoort Noord, Kennemergaardetunneltje, Santpoort-Noord, Velsen, Noord-Holland, Nederland, 2071 LH, Nederland"
Sassenheim,49.5323093,5.9332871,"Sanem, Canton Esch-sur-Alzette, Lëtzebuerg"
Saumur,47.2596224,-0.0785177,"Saumur, Maine-et-Loire, Pays de la Loire, France métropolitaine, 49400, France"
Schaumburg,42.0333608,-88.083406,"Schaumburg, Schaumburg Township, Cook County, Illinois, United States"
Schiedam,51.9300454,4.3864511,"Schiedam, Zuid-Holland, Nederland"
Schierzig,52.4146706,15.7497765,"Siercz, gmina Trzciel, powiat międzyrzecki, województwo lubuskie, 66-320, Polska"
Schleusingen,50.5416758,10.7669624,"Schleusingen, Landkreis Hildburghausen, Thüringen, 98553, Deutschland"
Schönauwen,52.0297414,5.0359694,"Schonauwen, Achtersloot, IJsselstein, Utrecht, Nederland, 3401 HB, Nederland"
Schönermark,53.0067992,13.1227562,"Schönermark, Gransee und Gemeinden, Oberhavel, Brandenburg, Deutschland"
Schwäbisch Hall,49.1124305,9.7371246,"Schwäbisch Hall, VVG der Stadt Schwäbisch Hall, Landkreis Schwäbisch Hall, Baden-Württemberg, 74523, Deutschland"
Semarang,-6.9903988,110.4229104,"Kota Semarang, Jawa Tengah, Jawa, Indonesia"
Sint Petersburg,59.9606739,30.1586551,"Санкт-Петербург, Северо-Западный федеральный округ, Россия"
Sliedrecht,51.8250939,4.7741716,"Sliedrecht, Zuid-Holland, Nederland"
Sommelsdijk,51.7589819,4.1510617,"Sommelsdijk, Goeree-Overflakkee, Zuid-Holland, Nederland"
Steenwijk,52.7895502,6.1210477,"Steenwijk, Steenwijkerland, Overijssel, Nederland"
Stuttgart,48.7784485,9.1800132,"Stuttgart, Baden-Württemberg, Deutschland"
Sulechów,52.0854782,15.6259091,"Sulechów, gmina Sulechów, powiat zielonogórski, województwo lubuskie, 66-100, Polska"
Suriname,4.1413025,-56.0771187,Suriname
Świebodzin,52.2498357,15.5324973,"Świebodzin, gmina Świebodzin, powiat świebodziński, województwo lubuskie, 66-200, Polska"
